ticker,name
ADS.DE,Adidas
AIR.DE,Airbus
ALV.DE,Allianz
BAS.DE,BASF
BAYN.DE,Bayer
BEI.DE,Beiersdorf
BMW.DE,BMW
BNR.DE,Brenntag
CBK.DE,Commerzbank
CON.DE,Continental
1COV.DE,Covestro
DTG.DE,Daimler Truck
DHL.DE,DHL Group
DBK.DE,Deutsche Bank
DB1.DE,Deutsche Börse
DTE.DE,Deutsche Telekom
EOAN.DE,E.ON
FRE.DE,Fresenius
HNR1.DE,Hannover Rück
HEI.DE,Heidelberg Materials
HEN3.DE,Henkel
IFX.DE,Infineon
MBG.DE,Mercedes-Benz Group
MRK.DE,Merck KGaA
MTX.DE,MTU Aero Engines
MUV2.DE,Münchener Rück
P911.DE,Porsche AG
PAH3.DE,Porsche SE
QIA.DE,Qiagen
RHM.DE,Rheinmetall
RWE.DE,RWE
SAP.DE,SAP
SRT3.DE,Sartorius
SIE.DE,Siemens
ENR.DE,Siemens Energy
SHL.DE,Siemens Healthineers
SY1.DE,Symrise
VNA.DE,Vonovia
VOW3.DE,Volkswagen
ZAL.DE,Zalando
AIXA.DE,Aixtron
BC8.DE,Bechtle
EVT.DE,Evotec
JEN.DE,Jenoptik
NEM.DE,Nemetschek
S92.DE,SMA Solar
TMV.DE,TeamViewer
UTDI.DE,United Internet
WAF.DE,Siltronic
SOW.DE,Software AG
